date,symbol,open,high,low,close,volume
2023-06-29 18:41:36.168606,AAPL,141.81,143.89,140.45,143.64,5909701
2023-06-30 18:41:36.168606,AAPL,144.69,145.13,143.26,144.62,5852810
2023-07-03 18:41:36.168606,AAPL,144.42,147.09,142.85,145.5,8867500
2023-07-04 18:41:36.168606,AAPL,145.0,148.8,144.56,148.52,8212074
2023-07-05 18:41:36.168606,AAPL,148.46,148.72,144.76,146.86,886667
2023-07-06 18:41:36.168606,AAPL,145.91,147.98,143.2,145.4,8160833
2023-07-07 18:41:36.168606,AAPL,143.87,144.65,142.65,143.81,9972232
2023-07-10 18:41:36.168606,AAPL,140.96,143.9,138.2,141.22,9010852
2023-07-11 18:41:36.168606,AAPL,134.45,134.92,133.05,133.91,929735
2023-07-12 18:41:36.168606,AAPL,136.8,138.39,134.52,136.52,2662469
2023-07-13 18:41:36.168606,AAPL,141.39,142.32,137.82,138.82,2709089
2023-07-14 18:41:36.168606,AAPL,132.68,136.93,131.14,134.66,8005477
2023-07-17 18:41:36.168606,AAPL,130.76,134.11,127.8,133.58,9596563
2023-07-18 18:41:36.168606,AAPL,133.43,135.23,128.57,131.66,5375034
2023-07-19 18:41:36.168606,AAPL,129.98,132.32,127.19,129.87,9712128
2023-07-20 18:41:36.168606,AAPL,124.15,124.89,123.8,124.38,9928366
2023-07-21 18:41:36.168606,AAPL,122.22,125.09,120.03,122.88,2344702
2023-07-24 18:41:36.168606,AAPL,123.72,125.81,121.95,124.41,5997498
2023-07-25 18:41:36.168606,AAPL,129.25,131.66,127.58,130.84,4427819
2023-07-26 18:41:36.168606,AAPL,134.68,135.2,131.56,131.93,9159296
2023-07-27 18:41:36.168606,AAPL,132.97,133.63,131.81,132.32,938761
2023-07-28 18:41:36.168606,AAPL,131.96,133.16,130.81,131.02,8987324
2023-07-31 18:41:36.168606,AAPL,129.36,129.68,129.17,129.52,6771318
2023-08-01 18:41:36.168606,AAPL,131.17,135.25,129.26,132.04,6249031
2023-08-02 18:41:36.168606,AAPL,134.75,135.3,130.76,132.87,9372985
2023-08-03 18:41:36.168606,AAPL,130.64,131.95,129.71,131.25,8204010
2023-08-04 18:41:36.168606,AAPL,125.82,131.95,123.75,128.63,6957658
2023-08-07 18:41:36.168606,AAPL,125.37,128.58,125.01,128.28,9866854
2023-08-08 18:41:36.168606,AAPL,126.56,127.23,126.31,126.98,9783910
2023-08-09 18:41:36.168606,AAPL,128.72,130.45,124.94,127.02,5498869
2023-08-10 18:41:36.168606,AAPL,126.51,127.04,126.45,126.51,4427858
2023-08-11 18:41:36.168606,AAPL,127.66,128.83,127.29,127.55,6084684
2023-08-14 18:41:36.168606,AAPL,124.66,125.19,123.11,124.39,1405585
2023-08-15 18:41:36.168606,AAPL,128.51,129.54,126.25,127.17,4595013
2023-08-16 18:41:36.168606,AAPL,133.82,134.54,131.38,134.3,5311593
2023-08-17 18:41:36.168606,AAPL,136.22,139.56,133.23,137.57,4946769
2023-08-18 18:41:36.168606,AAPL,140.5,141.45,137.52,138.24,6978974
2023-08-21 18:41:36.168606,AAPL,139.91,140.83,139.29,140.75,3285714
2023-08-22 18:41:36.168606,AAPL,137.46,138.69,135.35,137.98,1078039
2023-08-23 18:41:36.168606,AAPL,133.29,136.92,130.12,133.68,2062165
2023-08-24 18:41:36.168606,AAPL,136.22,136.24,135.7,135.81,3772214
2023-08-25 18:41:36.168606,AAPL,133.88,134.85,130.8,134.42,9980860
2023-08-28 18:41:36.168606,AAPL,129.61,131.64,128.42,130.87,6293956
2023-08-29 18:41:36.168606,AAPL,127.83,129.71,126.98,128.63,6529611
2023-08-30 18:41:36.168606,AAPL,125.89,127.19,125.16,125.78,1832465
2023-08-31 18:41:36.168606,AAPL,125.84,126.37,125.46,126.19,2959244
2023-09-01 18:41:36.168606,AAPL,128.31,129.13,127.46,127.72,9268924
2023-09-04 18:41:36.168606,AAPL,129.32,130.38,129.3,130.05,1114929
2023-09-05 18:41:36.168606,AAPL,132.43,132.6,131.45,132.44,5988997
2023-09-06 18:41:36.168606,AAPL,136.86,137.59,134.47,134.51,816756
2023-09-07 18:41:36.168606,AAPL,134.72,135.12,133.03,134.02,9060820
2023-09-08 18:41:36.168606,AAPL,131.84,133.55,131.32,132.41,1500283
2023-09-11 18:41:36.168606,AAPL,125.59,131.47,125.03,128.48,2218324
2023-09-12 18:41:36.168606,AAPL,130.07,132.02,129.05,131.37,976031
2023-09-13 18:41:36.168606,AAPL,132.34,135.84,129.52,130.97,4231479
2023-09-14 18:41:36.168606,AAPL,132.74,135.5,129.17,129.96,3451278
2023-09-15 18:41:36.168606,AAPL,132.65,133.86,131.74,133.09,9603201
2023-09-18 18:41:36.168606,AAPL,130.93,132.21,129.84,130.77,7084720
2023-09-19 18:41:36.168606,AAPL,133.8,134.74,132.86,133.02,5887749
2023-09-20 18:41:36.168606,AAPL,135.99,136.96,133.63,133.87,5087696
2023-09-21 18:41:36.168606,AAPL,131.12,131.37,130.52,131.16,8054647
2023-09-22 18:41:36.168606,AAPL,132.0,134.02,128.65,131.03,6315140
2023-09-25 18:41:36.168606,AAPL,132.97,135.1,132.31,133.64,3598472
2023-09-26 18:41:36.168606,AAPL,137.07,137.22,133.1,135.84,3913270
2023-09-27 18:41:36.168606,AAPL,137.39,140.29,135.49,139.97,5222930
2023-09-28 18:41:36.168606,AAPL,140.43,144.83,136.7,140.99,6791409
2023-09-29 18:41:36.168606,AAPL,150.45,152.42,148.15,150.56,7529645
2023-10-02 18:41:36.168606,AAPL,146.89,148.55,146.54,147.87,9488162
2023-10-03 18:41:36.168606,AAPL,148.83,149.05,145.73,146.76,1941648
2023-10-04 18:41:36.168606,AAPL,145.45,148.45,143.47,146.66,2835264
2023-10-05 18:41:36.168606,AAPL,139.96,142.66,136.65,142.57,7565373
2023-10-06 18:41:36.168606,AAPL,145.83,145.96,145.33,145.61,8295810
2023-10-09 18:41:36.168606,AAPL,149.62,149.89,147.92,148.32,8069693
2023-10-10 18:41:36.168606,AAPL,147.7,149.41,146.02,148.45,2229885
2023-10-11 18:41:36.168606,AAPL,146.24,147.57,145.71,146.94,9759072
2023-10-12 18:41:36.168606,AAPL,142.02,142.79,141.59,142.62,4417048
2023-10-13 18:41:36.168606,AAPL,141.96,144.91,138.99,140.44,658924
2023-10-16 18:41:36.168606,AAPL,142.14,145.75,141.87,142.6,5793075
2023-10-17 18:41:36.168606,AAPL,143.2,143.65,141.89,142.06,5589464
2023-10-18 18:41:36.168606,AAPL,140.55,141.2,139.39,140.92,3843797
2023-10-19 18:41:36.168606,AAPL,145.36,148.32,141.76,142.4,7763589
2023-10-20 18:41:36.168606,AAPL,144.92,148.02,144.81,145.77,1775843
