date,symbol,open,high,low,close,volume
2023-06-29 18:41:36.168606,GOOG,60.16,61.23,59.26,60.86,8449092
2023-06-30 18:41:36.168606,GOOG,60.67,61.11,60.35,60.44,851240
2023-07-03 18:41:36.168606,GOOG,64.6,64.72,63.16,63.91,5713904
2023-07-04 18:41:36.168606,GOOG,66.36,66.6,65.84,66.03,1315442
2023-07-05 18:41:36.168606,GOOG,64.87,65.2,63.85,63.95,3400874
2023-07-06 18:41:36.168606,GOOG,63.2,63.53,62.48,62.97,5510812
2023-07-07 18:41:36.168606,GOOG,62.11,62.55,61.22,61.7,2258714
2023-07-10 18:41:36.168606,GOOG,62.88,63.11,62.42,62.53,4325872
2023-07-11 18:41:36.168606,GOOG,61.93,63.78,61.63,63.27,7154499
2023-07-12 18:41:36.168606,GOOG,64.82,65.19,63.94,64.02,892515
2023-07-13 18:41:36.168606,GOOG,62.32,62.81,61.42,61.96,415315
2023-07-14 18:41:36.168606,GOOG,60.99,61.35,60.9,61.2,4059015
2023-07-17 18:41:36.168606,GOOG,61.31,61.46,60.5,61.05,4558434
2023-07-18 18:41:36.168606,GOOG,58.65,59.19,58.39,58.86,5607200
2023-07-19 18:41:36.168606,GOOG,57.59,57.88,56.74,57.86,6266994
2023-07-20 18:41:36.168606,GOOG,59.27,59.63,59.19,59.46,8236537
2023-07-21 18:41:36.168606,GOOG,57.71,57.84,57.36,57.64,9183542
2023-07-24 18:41:36.168606,GOOG,59.1,59.8,58.99,59.34,8631225
2023-07-25 18:41:36.168606,GOOG,60.99,61.84,59.7,60.67,9952731
2023-07-26 18:41:36.168606,GOOG,59.01,62.06,58.45,60.35,972109
2023-07-27 18:41:36.168606,GOOG,59.96,60.33,59.22,59.59,3201004
2023-07-28 18:41:36.168606,GOOG,60.43,61.97,59.09,60.62,9169984
2023-07-31 18:41:36.168606,GOOG,59.23,59.71,58.81,59.69,4710764
2023-08-01 18:41:36.168606,GOOG,58.01,59.06,57.17,58.84,940268
2023-08-02 18:41:36.168606,GOOG,58.42,59.26,57.95,58.84,5696127
2023-08-03 18:41:36.168606,GOOG,56.24,56.92,55.73,56.36,3531543
2023-08-04 18:41:36.168606,GOOG,54.69,55.19,54.32,54.76,9447003
2023-08-07 18:41:36.168606,GOOG,54.51,54.62,54.33,54.44,8314491
2023-08-08 18:41:36.168606,GOOG,55.12,56.66,54.55,54.98,9251969
2023-08-09 18:41:36.168606,GOOG,53.39,54.52,53.25,54.13,4055199
2023-08-10 18:41:36.168606,GOOG,54.08,54.98,53.63,53.94,4093611
2023-08-11 18:41:36.168606,GOOG,51.67,53.2,51.28,52.23,8273192
2023-08-14 18:41:36.168606,GOOG,53.62,53.94,52.26,53.23,7506465
2023-08-15 18:41:36.168606,GOOG,53.76,53.81,53.42,53.49,8372686
2023-08-16 18:41:36.168606,GOOG,53.72,53.86,53.63,53.85,2105464
2023-08-17 18:41:36.168606,GOOG,52.16,55.53,51.57,54.4,1805692
2023-08-18 18:41:36.168606,GOOG,54.39,54.79,54.16,54.51,1650642
2023-08-21 18:41:36.168606,GOOG,54.43,54.96,53.12,54.01,7326078
2023-08-22 18:41:36.168606,GOOG,55.41,55.56,54.9,55.26,5353087
2023-08-23 18:41:36.168606,GOOG,56.73,57.61,55.31,55.46,8115648
2023-08-24 18:41:36.168606,GOOG,54.75,55.87,54.57,55.3,1430657
2023-08-25 18:41:36.168606,GOOG,54.89,55.75,54.77,55.32,1045161
2023-08-28 18:41:36.168606,GOOG,54.83,55.96,54.5,55.32,6722266
2023-08-29 18:41:36.168606,GOOG,54.87,55.99,54.38,55.15,5616552
2023-08-30 18:41:36.168606,GOOG,55.61,56.14,55.34,55.67,1850652
2023-08-31 18:41:36.168606,GOOG,55.58,55.66,54.47,54.66,763478
2023-09-01 18:41:36.168606,GOOG,53.76,53.88,53.66,53.74,2142361
2023-09-04 18:41:36.168606,GOOG,54.41,54.85,54.25,54.37,9134612
2023-09-05 18:41:36.168606,GOOG,54.39,55.0,53.68,54.24,4175341
2023-09-06 18:41:36.168606,GOOG,55.52,55.64,54.68,55.32,1058101
2023-09-07 18:41:36.168606,GOOG,55.21,56.26,54.61,55.8,2392056
2023-09-08 18:41:36.168606,GOOG,55.06,55.57,55.01,55.21,7469080
2023-09-11 18:41:36.168606,GOOG,55.25,56.37,55.12,55.87,1490179
2023-09-12 18:41:36.168606,GOOG,57.18,57.42,56.87,57.24,8414052
2023-09-13 18:41:36.168606,GOOG,57.71,58.56,57.64,57.78,2018517
2023-09-14 18:41:36.168606,GOOG,58.34,60.14,58.27,58.58,1411414
2023-09-15 18:41:36.168606,GOOG,58.57,58.92,58.27,58.4,8031827
2023-09-18 18:41:36.168606,GOOG,59.07,59.68,58.9,59.59,6463395
2023-09-19 18:41:36.168606,GOOG,58.76,59.32,58.43,58.93,8610974
2023-09-20 18:41:36.168606,GOOG,59.71,60.44,58.84,59.36,456440
2023-09-21 18:41:36.168606,GOOG,62.58,62.73,62.16,62.44,8466126
2023-09-22 18:41:36.168606,GOOG,63.58,64.49,62.26,63.14,3003561
2023-09-25 18:41:36.168606,GOOG,64.37,65.11,62.5,62.64,4957162
2023-09-26 18:41:36.168606,GOOG,62.32,62.68,61.73,62.14,8882153
2023-09-27 18:41:36.168606,GOOG,61.35,62.76,60.13,62.09,1086275
2023-09-28 18:41:36.168606,GOOG,63.26,63.78,63.1,63.18,9960685
2023-09-29 18:41:36.168606,GOOG,63.09,63.43,62.36,63.39,1448483
2023-10-02 18:41:36.168606,GOOG,62.52,62.62,62.43,62.6,9229773
2023-10-03 18:41:36.168606,GOOG,61.95,62.51,60.89,61.82,6296519
2023-10-04 18:41:36.168606,GOOG,62.03,62.31,61.58,62.04,527557
2023-10-05 18:41:36.168606,GOOG,62.28,62.53,61.88,62.12,2252259
2023-10-06 18:41:36.168606,GOOG,62.61,63.42,61.99,62.72,4555237
2023-10-09 18:41:36.168606,GOOG,64.98,65.7,63.7,63.9,2919127
2023-10-10 18:41:36.168606,GOOG,67.52,67.99,66.69,67.42,7720520
2023-10-11 18:41:36.168606,GOOG,66.17,67.12,64.93,65.48,9898972
2023-10-12 18:41:36.168606,GOOG,66.25,67.8,65.38,66.41,3886065
2023-10-13 18:41:36.168606,GOOG,66.32,66.83,65.85,66.57,9163110
2023-10-16 18:41:36.168606,GOOG,64.29,64.67,63.65,64.15,6042712
2023-10-17 18:41:36.168606,GOOG,65.52,66.98,65.1,65.79,8123556
2023-10-18 18:41:36.168606,GOOG,65.45,66.4,65.16,66.37,1380280
2023-10-19 18:41:36.168606,GOOG,66.76,68.03,65.57,67.47,1379372
2023-10-20 18:41:36.168606,GOOG,65.02,65.42,64.82,65.21,2549851
2023-10-23 18:41:36.168606,GOOG,65.57,65.96,64.68,64.95,1621093
2023-10-24 18:41:36.168606,GOOG,63.63,63.77,63.43,63.59,8511159
2023-10-25 18:41:36.168606,GOOG,65.71,66.78,64.64,66.37,6642683
2023-10-26 18:41:36.168606,GOOG,68.94,69.41,67.88,67.92,1963032
2023-10-27 18:41:36.168606,GOOG,66.83,67.5,66.46,67.03,3144410
2023-10-30 18:41:36.168606,GOOG,65.88,66.58,64.33,65.0,1817354
2023-10-31 18:41:36.168606,GOOG,65.32,66.3,64.53,65.29,5516797
2023-11-01 18:41:36.168606,GOOG,67.32,67.67,65.92,66.75,7646691
2023-11-02 18:41:36.168606,GOOG,64.37,64.56,63.96,64.46,8845662
2023-11-03 18:41:36.168606,GOOG,62.39,63.58,61.18,63.29,1203248
2023-11-06 18:41:36.168606,GOOG,61.17,62.69,61.04,61.93,2463319
2023-11-07 18:41:36.168606,GOOG,62.64,64.02,61.31,63.03,7934767
2023-11-08 18:41:36.168606,GOOG,62.36,62.9,62.18,62.6,3016585
2023-11-09 18:41:36.168606,GOOG,62.57,62.79,62.09,62.22,6010122
2023-11-10 18:41:36.168606,GOOG,61.57,62.82,61.4,62.47,1679889
2023-11-13 18:41:36.168606,GOOG,62.0,62.31,61.39,61.4,3297418
2023-11-14 18:41:36.168606,GOOG,60.39,61.63,59.64,59.66,9293839
2023-11-15 18:41:36.168606,GOOG,60.61,61.9,60.57,61.32,2579129
2023-11-16 18:41:36.168606,GOOG,63.66,63.77,62.29,63.15,4303726
2023-11-17 18:41:36.168606,GOOG,63.46,63.76,63.03,63.4,8939023
2023-11-20 18:41:36.168606,GOOG,63.47,64.91,62.68,63.76,8573958
2023-11-21 18:41:36.168606,GOOG,65.26,66.12,64.88,65.4,9180627
2023-11-22 18:41:36.168606,GOOG,66.18,66.94,65.16,65.63,7369056
2023-11-23 18:41:36.168606,GOOG,64.46,65.37,62.93,65.12,1148278
2023-11-24 18:41:36.168606,GOOG,65.34,65.68,65.0,65.2,264486
2023-11-27 18:41:36.168606,GOOG,67.23,67.31,66.82,67.05,835062
2023-11-28 18:41:36.168606,GOOG,66.7,67.65,65.61,67.15,6384179
2023-11-29 18:41:36.168606,GOOG,66.41,66.68,65.75,66.29,1524241
2023-11-30 18:41:36.168606,GOOG,65.98,67.97,64.63,66.52,3795611
2023-12-01 18:41:36.168606,GOOG,67.65,67.89,67.31,67.42,8451870
2023-12-04 18:41:36.168606,GOOG,68.22,68.83,67.98,68.18,2566704
2023-12-05 18:41:36.168606,GOOG,68.67,69.11,68.04,68.97,3103337
2023-12-06 18:41:36.168606,GOOG,68.01,68.12,66.15,67.86,6025313
2023-12-07 18:41:36.168606,GOOG,68.35,70.8,67.89,68.94,6924125
2023-12-08 18:41:36.168606,GOOG,68.29,69.89,67.19,69.01,6362748
2023-12-11 18:41:36.168606,GOOG,67.77,68.98,66.37,68.07,9478778
2023-12-12 18:41:36.168606,GOOG,68.88,69.15,68.74,69.14,265301
2023-12-13 18:41:36.168606,GOOG,67.94,68.69,67.47,68.55,4277927
2023-12-14 18:41:36.168606,GOOG,65.56,67.13,65.32,66.42,1231614
2023-12-15 18:41:36.168606,GOOG,64.99,65.44,64.61,65.13,5518673
2023-12-18 18:41:36.168606,GOOG,64.7,65.16,64.23,64.92,4659512
2023-12-19 18:41:36.168606,GOOG,65.19,66.74,65.05,65.71,3095353
2023-12-20 18:41:36.168606,GOOG,64.44,65.0,64.4,64.6,9258430
2023-12-21 18:41:36.168606,GOOG,64.3,64.65,64.12,64.32,1749379
2023-12-22 18:41:36.168606,GOOG,63.15,63.47,62.38,62.79,1333387
2023-12-25 18:41:36.168606,GOOG,64.68,65.56,62.58,64.06,2551603
2023-12-26 18:41:36.168606,GOOG,67.36,67.64,66.27,66.29,4389991
2023-12-27 18:41:36.168606,GOOG,68.19,68.56,67.12,68.45,4081048
2023-12-28 18:41:36.168606,GOOG,69.78,69.96,69.32,69.81,9671226
2023-12-29 18:41:36.168606,GOOG,71.14,73.18,70.49,71.05,8327953
2024-01-01 18:41:36.168606,GOOG,68.39,69.89,67.64,68.14,316651
2024-01-02 18:41:36.168606,GOOG,68.29,68.49,68.18,68.42,6467038
2024-01-03 18:41:36.168606,GOOG,67.44,68.28,67.09,67.77,870008
2024-01-04 18:41:36.168606,GOOG,69.58,70.37,68.89,69.0,9533262
2024-01-05 18:41:36.168606,GOOG,64.9,65.8,64.56,65.53,8670209
2024-01-08 18:41:36.168606,GOOG,65.75,66.21,65.72,65.82,5425910
2024-01-09 18:41:36.168606,GOOG,66.23,66.66,64.83,65.57,9651544
2024-01-10 18:41:36.168606,GOOG,67.24,67.36,66.88,67.07,292803
2024-01-11 18:41:36.168606,GOOG,70.57,71.37,67.57,69.18,6253283
2024-01-12 18:41:36.168606,GOOG,66.99,68.2,66.82,67.93,7305273
2024-01-15 18:41:36.168606,GOOG,66.6,67.47,65.61,66.76,5572587
2024-01-16 18:41:36.168606,GOOG,66.44,67.15,65.66,67.1,5955113
2024-01-17 18:41:36.168606,GOOG,70.05,70.59,69.12,69.46,2363567
