date,symbol,open,high,low,close,volume
2023-06-29 18:41:36.168606,JPM,234.19,234.73,233.37,233.42,1967540
2023-06-30 18:41:36.168606,JPM,219.87,227.86,214.33,225.52,4215061
2023-07-03 18:41:36.168606,JPM,228.68,229.89,226.9,228.8,9289066
2023-07-04 18:41:36.168606,JPM,230.76,233.18,228.67,229.31,7918420
2023-07-05 18:41:36.168606,JPM,231.83,232.15,229.83,231.22,1175091
2023-07-06 18:41:36.168606,JPM,238.97,241.06,238.38,239.29,9761399
2023-07-07 18:41:36.168606,JPM,234.37,239.61,229.23,236.45,1605859
2023-07-10 18:41:36.168606,JPM,242.16,243.01,242.09,242.68,2867359
2023-07-11 18:41:36.168606,JPM,240.64,243.11,237.31,239.86,967595
2023-07-12 18:41:36.168606,JPM,247.28,252.9,244.85,247.48,787693
2023-07-13 18:41:36.168606,JPM,250.73,252.55,248.14,251.32,400374
2023-07-14 18:41:36.168606,JPM,244.61,245.77,240.07,243.87,4937645
2023-07-17 18:41:36.168606,JPM,237.9,242.28,235.09,241.96,5786421
2023-07-18 18:41:36.168606,JPM,250.57,252.51,250.36,251.35,6914780
2023-07-19 18:41:36.168606,JPM,261.63,261.96,258.08,260.48,7874296
2023-07-20 18:41:36.168606,JPM,260.77,265.11,260.19,263.75,6360432
2023-07-21 18:41:36.168606,JPM,263.41,269.39,262.85,265.76,8511727
2023-07-24 18:41:36.168606,JPM,265.89,267.63,263.19,267.16,6265187
2023-07-25 18:41:36.168606,JPM,263.7,272.75,259.91,269.63,6505546
2023-07-26 18:41:36.168606,JPM,272.89,273.36,268.49,269.01,8671090
2023-07-27 18:41:36.168606,JPM,271.27,281.25,265.22,275.66,7299186
2023-07-28 18:41:36.168606,JPM,277.81,283.79,273.04,278.98,4141328
2023-07-31 18:41:36.168606,JPM,274.02,274.16,272.69,273.73,317522
2023-08-01 18:41:36.168606,JPM,275.41,277.56,272.66,277.46,3966692
2023-08-02 18:41:36.168606,JPM,277.98,279.69,276.1,278.51,3435430
2023-08-03 18:41:36.168606,JPM,276.32,277.21,275.33,276.91,904069
2023-08-04 18:41:36.168606,JPM,290.84,294.1,286.62,287.56,587843
2023-08-07 18:41:36.168606,JPM,287.82,290.55,286.32,288.3,114425
2023-08-08 18:41:36.168606,JPM,279.03,281.75,274.93,277.16,7002288
2023-08-09 18:41:36.168606,JPM,278.43,283.69,274.7,275.96,9085739
2023-08-10 18:41:36.168606,JPM,280.58,283.84,280.45,281.59,499185
2023-08-11 18:41:36.168606,JPM,270.38,278.73,263.54,276.51,9017933
2023-08-14 18:41:36.168606,JPM,282.45,285.67,277.57,281.95,590167
2023-08-15 18:41:36.168606,JPM,273.08,282.61,270.37,276.47,2556525
2023-08-16 18:41:36.168606,JPM,287.29,287.33,283.99,284.0,143237
2023-08-17 18:41:36.168606,JPM,286.11,288.25,278.71,280.89,885345
2023-08-18 18:41:36.168606,JPM,279.94,280.52,275.84,279.05,1396181
2023-08-21 18:41:36.168606,JPM,278.73,280.84,274.51,276.81,9524200
2023-08-22 18:41:36.168606,JPM,278.74,286.95,278.09,280.26,782622
2023-08-23 18:41:36.168606,JPM,294.24,296.72,286.37,290.74,8387143
2023-08-24 18:41:36.168606,JPM,289.82,293.93,289.48,290.97,8201351
2023-08-25 18:41:36.168606,JPM,294.3,297.88,284.85,291.05,9599898
2023-08-28 18:41:36.168606,JPM,287.86,291.36,286.44,287.86,6663488
2023-08-29 18:41:36.168606,JPM,272.61,281.78,269.34,278.63,2008010
2023-08-30 18:41:36.168606,JPM,279.35,283.79,271.39,276.13,185591
2023-08-31 18:41:36.168606,JPM,269.68,272.7,269.01,269.32,2146416
2023-09-01 18:41:36.168606,JPM,262.55,262.86,257.49,259.29,8552082
2023-09-04 18:41:36.168606,JPM,259.74,261.21,257.1,259.02,2605777
2023-09-05 18:41:36.168606,JPM,257.57,258.06,255.29,256.34,9196460
2023-09-06 18:41:36.168606,JPM,260.77,264.34,259.74,263.52,5775209
