date,symbol,open,high,low,close,volume
2023-06-29 18:41:36.168606,MSFT,146.44,149.09,144.5,146.66,6142060
2023-06-30 18:41:36.168606,MSFT,153.13,155.51,148.35,150.56,6783635
2023-07-03 18:41:36.168606,MSFT,146.18,148.45,145.83,147.33,8659556
2023-07-04 18:41:36.168606,MSFT,148.76,151.0,145.1,146.37,8990401
2023-07-05 18:41:36.168606,MSFT,147.35,149.6,146.05,148.31,1870403
2023-07-06 18:41:36.168606,MSFT,144.49,144.61,143.28,144.04,606995
2023-07-07 18:41:36.168606,MSFT,149.17,151.86,147.05,148.34,387635
2023-07-10 18:41:36.168606,MSFT,148.89,150.59,147.09,147.35,4878972
2023-07-11 18:41:36.168606,MSFT,147.71,150.05,147.19,147.83,4794505
2023-07-12 18:41:36.168606,MSFT,150.46,153.82,148.3,151.34,5181502
2023-07-13 18:41:36.168606,MSFT,151.09,151.85,148.24,149.01,9375707
2023-07-14 18:41:36.168606,MSFT,151.23,153.9,149.12,152.25,507974
2023-07-17 18:41:36.168606,MSFT,159.39,161.91,153.84,157.32,2571321
2023-07-18 18:41:36.168606,MSFT,156.1,156.82,154.01,155.34,292458
2023-07-19 18:41:36.168606,MSFT,157.4,163.31,156.22,159.67,9897399
2023-07-20 18:41:36.168606,MSFT,153.2,154.3,152.42,154.13,8534858
2023-07-21 18:41:36.168606,MSFT,156.95,158.43,152.42,155.41,4739022
2023-07-24 18:41:36.168606,MSFT,151.64,151.79,151.04,151.66,7788659
2023-07-25 18:41:36.168606,MSFT,155.24,156.68,154.16,154.6,2248185
2023-07-26 18:41:36.168606,MSFT,156.82,157.41,156.6,157.34,2283955
2023-07-27 18:41:36.168606,MSFT,164.92,166.96,162.57,163.95,2673697
2023-07-28 18:41:36.168606,MSFT,170.71,174.27,168.51,168.7,9433348
2023-07-31 18:41:36.168606,MSFT,168.24,168.47,167.93,168.22,4888109
2023-08-01 18:41:36.168606,MSFT,170.57,174.25,164.04,164.67,236645
2023-08-02 18:41:36.168606,MSFT,167.05,169.71,163.18,166.61,2590272
2023-08-03 18:41:36.168606,MSFT,162.48,169.15,160.03,166.49,4876415
2023-08-04 18:41:36.168606,MSFT,170.09,173.56,169.92,171.74,4534315
2023-08-07 18:41:36.168606,MSFT,163.98,165.82,162.79,164.38,5559501
2023-08-08 18:41:36.168606,MSFT,171.83,171.98,171.08,171.66,8294253
2023-08-09 18:41:36.168606,MSFT,174.02,174.02,172.59,173.57,4942256
2023-08-10 18:41:36.168606,MSFT,172.98,174.24,168.69,170.84,2480612
2023-08-11 18:41:36.168606,MSFT,173.72,174.33,173.19,173.43,5669451
2023-08-14 18:41:36.168606,MSFT,178.95,180.11,176.7,178.02,3034317
2023-08-15 18:41:36.168606,MSFT,174.83,179.46,173.45,178.51,8251168
2023-08-16 18:41:36.168606,MSFT,173.87,174.69,171.96,172.3,1064795
2023-08-17 18:41:36.168606,MSFT,172.18,173.0,170.4,171.38,6081804
2023-08-18 18:41:36.168606,MSFT,174.7,177.01,174.52,175.02,7945772
2023-08-21 18:41:36.168606,MSFT,177.51,177.8,176.41,176.85,9991669
2023-08-22 18:41:36.168606,MSFT,176.65,177.65,175.85,176.38,5256758
2023-08-23 18:41:36.168606,MSFT,178.41,183.01,178.11,181.09,1757583
2023-08-24 18:41:36.168606,MSFT,184.68,185.01,182.96,183.86,8845386
2023-08-25 18:41:36.168606,MSFT,189.46,190.35,185.63,186.95,2702352
2023-08-28 18:41:36.168606,MSFT,188.51,189.91,183.09,185.51,5845980
2023-08-29 18:41:36.168606,MSFT,185.3,189.18,179.48,183.72,5964075
2023-08-30 18:41:36.168606,MSFT,177.1,179.46,175.36,177.56,7417619
2023-08-31 18:41:36.168606,MSFT,176.43,178.26,173.51,176.73,4646925
2023-09-01 18:41:36.168606,MSFT,181.06,182.87,179.4,180.13,6998410
2023-09-04 18:41:36.168606,MSFT,173.95,181.46,173.64,179.48,8799043
2023-09-05 18:41:36.168606,MSFT,181.17,181.35,180.98,181.17,9835260
2023-09-06 18:41:36.168606,MSFT,183.49,187.53,178.64,185.29,901125
2023-09-07 18:41:36.168606,MSFT,185.79,188.54,185.62,186.76,5354230
2023-09-08 18:41:36.168606,MSFT,191.44,193.59,188.22,188.61,3667945
2023-09-11 18:41:36.168606,MSFT,185.84,187.1,182.53,183.58,7934112
2023-09-12 18:41:36.168606,MSFT,183.99,185.11,182.43,182.49,7829578
2023-09-13 18:41:36.168606,MSFT,187.25,189.38,186.18,188.88,5324369
2023-09-14 18:41:36.168606,MSFT,188.92,191.72,186.88,189.37,7750961
2023-09-15 18:41:36.168606,MSFT,196.79,198.39,195.97,196.65,4905028
2023-09-18 18:41:36.168606,MSFT,194.6,195.88,192.88,193.9,3048134
2023-09-19 18:41:36.168606,MSFT,193.84,197.62,190.72,194.91,1899971
2023-09-20 18:41:36.168606,MSFT,191.11,194.83,186.69,193.51,673881
2023-09-21 18:41:36.168606,MSFT,193.04,199.41,188.45,195.9,3401394
2023-09-22 18:41:36.168606,MSFT,196.61,201.58,193.32,199.51,1713560
2023-09-25 18:41:36.168606,MSFT,203.11,206.55,200.12,202.01,935988
2023-09-26 18:41:36.168606,MSFT,206.05,206.57,205.43,206.32,4405665
2023-09-27 18:41:36.168606,MSFT,205.17,208.98,201.27,206.37,1830283
