age,income,credit_score,debt_to_income,employment_years,loan_amount,default
28,9077.758749312441,679,0.8583056593522582,34,1201.3971375270778,0
22,39662.151962802054,423,0.14664755592841427,26,45603.83434455888,0
68,26360.90869958725,463,0.7584135464885183,11,78419.40883442326,0
38,19643.032639057234,469,0.13198767900396746,15,23434.5871569653,0
49,21182.89217179181,446,0.15690443843500956,31,42587.543745801144,0
46,25057.436070102493,811,0.2014870832501814,32,21286.487799950883,0
24,19399.40172032826,457,0.6610767280179558,15,69574.7341066327,0
53,18444.909088183413,631,0.6390125337955761,28,70698.87187289521,0
57,13509.612151684061,502,0.4458863833222808,26,28989.306860652643,0
79,28426.706971445434,419,0.3144641945276079,30,48251.9610761282,0
44,20317.0038277829,328,0.6127721107122875,23,45719.000821237925,0
23,14817.248756862344,461,0.14418892713072728,30,78019.9325432247,0
55,23130.01347287503,813,0.6286590214628538,8,67842.06065884019,0
71,22503.22835152423,399,0.01195183840894809,35,7753.914614847479,0
21,28364.960143900673,356,0.14446894095375884,5,15955.407635389776,0
63,21699.822228629135,782,0.7079261780066688,29,84156.6339601293,0
52,29983.770840603604,444,0.8739700335443311,25,96589.78325671487,1
27,19215.130436308456,453,0.07560003733690945,39,64001.83303649613,0
71,19919.005272308776,680,0.6387670653972467,6,37112.28302759039,0
55,25305.585541694083,338,0.06190588527650509,7,22887.144440984805,0
67,26730.842522872426,447,0.8789696489477695,10,74612.32676650694,0
47,40368.638569326446,826,0.3916649362748029,2,64201.48898649189,0
59,37192.43861947536,531,0.7411759743068208,3,90980.9477586654,0
26,21551.46510577476,412,0.1727521445584499,32,90410.06433213585,0
33,10882.683611202716,777,0.8613503669662569,19,31411.24681967982,0
69,31008.303900812323,705,0.42917039221208064,4,80489.00654660513,0
21,28678.63036910283,451,0.20885724228241143,33,26105.942969323463,0
43,24551.100612085174,541,0.57244919695367,13,78417.20209050037,0
46,32422.24720755066,771,0.2881613577566091,12,17642.52006081565,0
45,18319.286768685324,701,0.2870502347775852,23,35422.67768466665,0
28,9921.781905541895,563,0.11454538232669553,29,9508.412631807925,0
45,14225.910250102861,680,0.21389755720143144,39,30281.677063062754,0
61,5174.705361055664,377,0.7978635017411008,10,32497.343410900936,0
49,27499.360339995015,602,0.523578570376629,8,67199.03849011798,0
41,21311.183863086248,515,0.35493957840186163,12,71810.24888737561,0
68,33872.24334836101,528,0.9293731310018725,12,59215.687387044665,0
59,32105.417912601464,451,0.797387566819039,31,77238.16732289703,0
56,17241.8744190314,829,0.3102721654236784,6,45705.699310256736,0
24,14584.910066201983,782,0.11073255131141757,10,63163.486826610344,0
35,14855.49867897061,767,0.18434181273213013,0,36566.58230569585,0
20,57385.256106849345,395,0.675168617839342,27,52611.459633164355,0
61,20421.268868876396,784,0.5630666915557965,7,14965.357203523934,0
63,19211.62675984367,844,0.9807777006174447,14,61487.952936893504,0
37,25481.905933353915,684,0.013493982667112547,4,21289.46200374929,0
51,9964.175338863834,539,0.876793257064984,21,46625.69098869108,0
47,18058.941703363063,572,0.014269209487210555,19,66879.69227303646,1
26,14352.457844601833,345,0.42475923133683413,3,43355.97849486523,0
27,12923.872323350115,761,0.9165887031995457,24,23092.406734198645,0
76,19320.615387856305,650,0.6584154089899761,15,66953.31244727381,0
23,22552.92670370669,558,0.5832996696032041,39,85400.8024859911,0
34,11760.838021344945,355,0.3134993056772424,26,50539.55566661269,0
32,18346.671327719574,837,0.9661275101240122,28,56207.2217901672,0
50,22925.145088859314,357,0.16822455629927224,11,39695.73094223673,0
73,27606.202994270217,746,0.2698875219266492,6,58736.51840031886,0
76,19217.546029703055,525,0.4529557303909534,23,50035.18431618643,0
71,25978.27204302531,563,0.12629915562314353,4,74911.18123154226,0
30,18469.450676921348,503,0.423547259592423,32,24785.924386849765,0
59,41803.57020246241,756,0.03934297544171994,37,49135.73955503688,0
61,28911.912985160143,837,0.9241187655709059,39,32306.568576517733,0
72,15747.156607061283,721,0.3221391360087247,5,10347.909324745817,0
39,17194.361521499446,348,0.6338025817417547,7,39263.71242262418,0
33,26799.580883245264,742,0.8705270718209084,21,95362.92113748533,1
51,16940.85977407239,510,0.8183262065130933,13,46588.375906088135,0
20,8391.47539054939,320,0.8733907755374583,8,55016.6422727775,0
25,25536.425087027623,696,0.7203086490188598,12,74481.49736643715,0
37,18184.901900586447,654,0.19374383222133496,31,98494.96053855609,0
78,30943.91425621361,686,0.36654854174104434,13,41765.723379017705,0
64,22480.87077469252,388,0.512031717267461,34,52249.868549717954,0
